cve_id,matched_keyword,published,cvss_score,cvss_vector,cvss_version,cvss_source,reference_count,sample_cpe,description,nvd_url,tier,package,installed_version,expected_vulnerable,source_advisory_url,notes
CVE-2022-40318,frr,03-05-2023,6.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,cvssMetricV31,nvd@nist.gov,6,cpe:2.3:a:frrouting:frrouting:*:*:*:*:*:*:*:*,"An issue was discovered in bgpd in FRRouting (FRR) through 8.4. By crafting a BGP OPEN message with an option of type 0xff (Extended Length from RFC 9072), attackers may cause a denial of service (assertion failure and daemon restart, or out-of-bound",https://nvd.nist.gov/vuln/detail/CVE-2022-40318,medium,,,,,
CVE-2022-28373,5g,14-07-2022,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,cvssMetricV31,nvd@nist.gov,4,cpe:2.3:o:verizon:lvskihp_indoorunit_firmware:3.4.66.162:*:*:*:*:*:*:*,Verizon 5G Home LVSKIHP InDoorUnit (IDU) 3.4.66.162 does not properly sanitize user-controlled parameters within the crtcreadpartition function of the crtcrpc JSON listener in /usr/lib/lua/luci/crtc.lua. A remote attacker on the local network can inj,https://nvd.nist.gov/vuln/detail/CVE-2022-28373,hard,,,,,
CVE-2022-28374,5g,14-07-2022,8.8,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,cvssMetricV31,nvd@nist.gov,4,cpe:2.3:o:verizon:lvskihp_outdoorunit_firmware:3.33.101.0:*:*:*:*:*:*:*,Verizon 5G Home LVSKIHP OutDoorUnit (ODU) 3.33.101.0 does not property sanitize user-controlled parameters within the DMACC URLs on the Settings page of the Engineering portal. An authenticated remote attacker on the local network can inject shell me,https://nvd.nist.gov/vuln/detail/CVE-2022-28374,hard,,,,,
CVE-2022-28375,5g,14-07-2022,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,cvssMetricV31,nvd@nist.gov,4,cpe:2.3:o:verizon:lvskihp_outdoorunit_firmware:3.33.101.0:*:*:*:*:*:*:*,Verizon 5G Home LVSKIHP OutDoorUnit (ODU) 3.33.101.0 does not property sanitize user-controlled parameters within the crtcswitchsimprofile function of the crtcrpc JSON listener. A remote attacker on the local network can inject shell metacharacters i,https://nvd.nist.gov/vuln/detail/CVE-2022-28375,hard,,,,,
CVE-2016-4030,lte,13-04-2017,6.8,CVSS:3.0/AV:P/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,cvssMetricV30,nvd@nist.gov,4,cpe:2.3:o:samsung:galaxy_s6_firmware:g920fxxu2coh2:*:*:*:*:*:*:*,"Samsung SM-G920F build G920FXXU2COH2 (Galaxy S6), SM-N9005 build N9005XXUGBOK6 (Galaxy Note 3), GT-I9192 build I9192XXUBNB1 (Galaxy S4 mini), GT-I9195 build I9195XXUCOL1 (Galaxy S4 mini LTE), and GT-I9505 build I9505XXUHOJ2 (Galaxy S4) devices have u",https://nvd.nist.gov/vuln/detail/CVE-2016-4030,hard,,,,,
CVE-2016-4031,lte,13-04-2017,6.8,CVSS:3.0/AV:P/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,cvssMetricV30,nvd@nist.gov,4,cpe:2.3:o:samsung:galaxy_s6_firmware:g920fxxu2coh2:*:*:*:*:*:*:*,"Samsung SM-G920F build G920FXXU2COH2 (Galaxy S6), SM-N9005 build N9005XXUGBOK6 (Galaxy Note 3), GT-I9192 build I9192XXUBNB1 (Galaxy S4 mini), GT-I9195 build I9195XXUCOL1 (Galaxy S4 mini LTE), and GT-I9505 build I9505XXUHOJ2 (Galaxy S4) devices allow ",https://nvd.nist.gov/vuln/detail/CVE-2016-4031,hard,,,,,
CVE-2016-4032,lte,13-04-2017,4.6,CVSS:3.0/AV:P/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,cvssMetricV30,nvd@nist.gov,4,cpe:2.3:o:samsung:galaxy_s6_firmware:g920fxxu2coh2:*:*:*:*:*:*:*,"Samsung SM-G920F build G920FXXU2COH2 (Galaxy S6), SM-N9005 build N9005XXUGBOK6 (Galaxy Note 3), GT-I9192 build I9192XXUBNB1 (Galaxy S4 mini), GT-I9195 build I9195XXUCOL1 (Galaxy S4 mini LTE), and GT-I9505 build I9505XXUHOJ2 (Galaxy S4) devices do not",https://nvd.nist.gov/vuln/detail/CVE-2016-4032,hard,,,,,
CVE-2018-8059,nginx,11-03-2018,8.8,CVSS:3.0/AV:A/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,cvssMetricV30,nvd@nist.gov,3,cpe:2.3:a:suse:portus:2.3.0:*:*:*:*:*:*:*,"The Djelibeybi configuration examples for use of NGINX in SUSE Portus 2.3, when applied to certain configurations involving Docker Compose, have a Missing SSL Certificate Validation issue because no proxy_ssl_* directives are used.",https://nvd.nist.gov/vuln/detail/CVE-2018-8059,hard,,,,,
CVE-2018-1000653,nginx,20-08-2018,9.8,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,cvssMetricV30,nvd@nist.gov,2,cpe:2.3:a:zzcms:zzcms:*:*:*:*:*:*:*:*,zzcms version 8.3 and earlier contains a SQL Injection vulnerability in zt/top.php line 5 that can result in could be attacked by sql injection in zzcms in nginx. This attack appear to be exploitable via running zzcms in nginx.,https://nvd.nist.gov/vuln/detail/CVE-2018-1000653,hard,,,,,
CVE-2019-9945,nginx,23-03-2019,9.8,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,cvssMetricV30,nvd@nist.gov,2,cpe:2.3:a:softnas:cloud:4.2.0:*:*:*:*:*:*:*,"SoftNAS Cloud 4.2.0 and 4.2.1 allows remote command execution. The NGINX default configuration file has a check to verify the status of a user cookie. If not set, a user is redirected to the login page. An arbitrary value can be provided for this coo",https://nvd.nist.gov/vuln/detail/CVE-2019-9945,hard,,,,,
CVE-2017-1000056,kubernetes,17-07-2017,9.8,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,cvssMetricV30,nvd@nist.gov,2,cpe:2.3:a:kubernetes:kubernetes:1.5.0:*:*:*:*:*:*:*,Kubernetes version 1.5.0-1.5.4 is vulnerable to a privilege escalation in the PodSecurityPolicy admission plugin resulting in the ability to make use of any existing PodSecurityPolicy object.,https://nvd.nist.gov/vuln/detail/CVE-2017-1000056,hard,,,,,
